Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
docetaxel CTD 00002688	2/110	0.002612524841351922	0.011810043803371702	0	0	30.675925925925927	182.44317223305998	CCNB1;BUB1B
sulforaphane CTD 00000857	2/111	0.002659398546636821	0.01185948000527231	0	0	30.39296636085627	180.21981382251266	CCNB1;TXNRD1
Pioglitazone CTD 00002515	2/111	0.002659398546636821	0.01185948000527231	0	0	30.39296636085627	180.21981382251266	CCNA2;CCNB1
emodin CTD 00005893	2/112	0.002706669841645333	0.011989275808630335	0	0	30.115151515151513	178.04186714438933	CCNB2;TXNRD1
Silica CTD 00006678	4/898	0.002815593146810516	0.012388609845966271	0	0	8.542281879194631	50.16525362368805	CCNA2;RRM2;TXNRD1;BUB1B
disulfiram CTD 00005860	2/116	0.002899720964463047	0.012648806677056335	0	0	29.05263157894737	169.75861593183672	CCNA2;TXNRD1
Zoledronic acid CTD 00003127	3/425	0.002913058507443277	0.012648806677056335	0	0	12.643688065489012	73.82082665464296	CDC20;CCNB1;BUB1
diclofenac CTD 00005804	3/427	0.0029520270551083765	0.012714357570180825	0	0	12.582761578044597	73.29789806651303	SMAD4;CTBP2;TXNRD1
0179445-0000 MCF7 DOWN	4/911	0.0029666834330421927	0.012714357570180825	0	0	8.414112458654905	48.97274826371968	RRM2;CTBP2;BUB1B;KIF11
luteolin CTD 00007430	2/120	0.0030990937422035263	0.01319614109583437	0	0	28.062146892655367	162.1050760117549	CCNA2;CCNB1
carbamazepine CTD 00005574	3/436	0.003131401478236612	0.013248237023308743	0	0	12.315557421792988	71.01488616802865	SMAD4;CTBP2;TXNRD1
deferoxamine CTD 00005759	2/123	0.00325275282866749	0.013673992782933396	0	0	27.362258953168045	156.73795881661738	CCNA2;CCNB1
Oxazolone CTD 00006449	2/130	0.003624975058181088	0.015142300875946316	0	0	25.856770833333332	145.31266993008884	TXNRD1;BUB1
docetaxel BOSS	2/142	0.00430723167559448	0.01787907487982614	0	0	23.626190476190477	128.702724827896	CCNB1;AURKA
vorinostat MCF7 DOWN	3/492	0.004399754692724142	0.018148988107487083	0	0	10.873954266592303	59.004321227109585	CCNA2;CTBP2;AURKA
doxorubicin PC3 DOWN	4/1023	0.00450918760826071	0.01848486845622403	0	0	7.445338567222767	40.21702575940281	CCNA2;SMAD4;KIF11;AURKA
3-(1-methylpyrrolidin-2-yl)pyridine CTD 00006393	3/499	0.004577314156467726	0.018648316933757403	0	0	10.716642228739003	57.726724575999334	CCNA2;CCNB1;UBE2C
CHROMIUM CTD 00005668	2/148	0.004669058835063234	0.01890539160209653	0	0	22.64840182648402	121.54939223207556	CCNB2;UBE2C
chlortetracycline HL60 DOWN	4/1050	0.004950053761940871	0.019920948066347408	0	0	7.24282982791587	38.447525268564874	CDC20;CCNB1;CTBP2;BUB1
AZD5438 LINCS	2/156	0.005172725227483539	0.020690900909934157	0	0	21.463203463203463	112.98993547505206	BUB1;AURKA
trichostatin A ssMCF7 DOWN	2/161	0.005499738669263782	0.02160611620067914	0	0	20.78301886792453	108.13518405397922	CCNA2;CTBP2
eugenol CTD 00005949	2/161	0.005499738669263782	0.02160611620067914	0	0	20.78301886792453	108.13518405397922	TXNRD1;BUB1
ellipticine HL60 DOWN	2/161	0.005499738669263782	0.02160611620067914	0	0	20.78301886792453	108.13518405397922	RRM2;KIF11
