Term,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Pioglitazone CTD 00002515,0.002287757,0.009877546,0,0,33.15763136,201.6044782,CCNA2;CCNB1
Zoledronic acid CTD 00003127,0.002325245,0.009919408,0,0,13.90876777,84.3417933,CDC20;CCNB1;BUB1
emodin CTD 00005893,0.0023285,0.009919408,0,0,32.85454545,199.1817058,CCNB2;TXNRD1
disulfiram CTD 00005860,0.002494909,0.010557925,0,0,31.6953748,189.9663294,CCNA2;TXNRD1
luteolin CTD 00007430,0.002666801,0.011211093,0,0,30.61479199,181.4500597,CCNA2;CCNB1
deferoxamine CTD 00005759,0.002799305,0.011691214,0,0,29.85123967,175.4770555,CCNA2;CCNB1
Oxazolone CTD 00006449,0.003120361,0.01294747,0,0,28.20880682,162.7593632,TXNRD1;BUB1
vorinostat MCF7 DOWN,0.003520723,0.014514465,0,0,11.96196319,67.57419359,CCNA2;CTBP2;AURKA
3-(1-methylpyrrolidin-2-yl)pyridine CTD 00006393,0.003663762,0.015000792,0,0,11.78891129,66.12712436,CCNA2;CCNB1;UBE2C
chlortetracycline HL60 DOWN,0.003687497,0.015000792,0,0,8.048013597,45.09147071,CDC20;CCNB1;CTBP2;BUB1
docetaxel BOSS,0.003709116,0.015000792,0,0,25.77532468,144.2635056,CCNB1;AURKA
CHROMIUM CTD 00005668,0.004021496,0.016161863,0,0,24.70859278,136.2950985,CCNB2;UBE2C
AZD5438 LINCS,0.004456486,0.017798092,0,0,23.41558442,126.7577993,BUB1;AURKA
trichostatin A HL60 DOWN,0.004645343,0.018437108,0,0,10.80388889,58.03730235,CCNA2;RRM2;CTBP2
trichostatin A ssMCF7 DOWN,0.004739003,0.018464773,0,0,22.67352773,121.3471006,CCNA2;CTBP2
eugenol CTD 00005949,0.004739003,0.018464773,0,0,22.67352773,121.3471006,TXNRD1;BUB1
ellipticine HL60 DOWN,0.004739003,0.018464773,0,0,22.67352773,121.3471006,RRM2;KIF11
parthenolide MCF7 DOWN,0.004796484,0.018575473,0,0,22.53068182,120.310962,CCNA2;BUB1B
aspirin CTD 00005447,0.005088965,0.019589452,0,0,10.44569892,55.16040082,CCNB1;TXNRD1;AURKA
vorinostat HL60 DOWN,0.00529416,0.020257296,0,0,10.29381625,53.95144444,CCNA2;RRM2;CTBP2
COBALT CTD 00005696,0.005450136,0.020729982,0,0,21.06964381,109.8173996,RRM2;TXNRD1
4-Hydroxytamoxifen CTD 00000850,0.00574683,0.021729138,0,0,9.98490566,51.5131955,CCNA2;TXNRD1;AURKA
parthenolide HL60 DOWN,0.005949929,0.022364734,0,0,20.1198578,103.1017153,RRM2;CTBP2
azacitidine PC3 DOWN,0.00599573,0.022405097,0,0,9.828547297,50.2898036,CCNA2;UBE2C;BUB1B
valproic acid HL60 DOWN,0.006873392,0.025535452,0,0,18.64719736,92.86486111,RRM2;CTBP2
MANGANESE CHLORIDE CTD 00001187,0.00694171,0.02564019,0,0,18.55014058,92.19804009,CCNB2;BUB1
Pyruvic acid CTD 00007265,0.0071285,0.025881316,0,0,166.475,822.9948695,CTBP2
flavin adenine dinucleotide TTD 00008045,0.0071285,0.025881316,0,0,166.475,822.9948695,TXNRD1
CHEMBL380598 TTD 00005159,0.0071285,0.025881316,0,0,166.475,822.9948695,CCNB1
HG-14-10-04 LINCS,0.007499463,0.027074334,0,0,17.80828083,87.13456119,BUB1;AURKA
Capsaicin CTD 00005570,0.007642002,0.027433927,0,0,17.63190731,85.93960387,CCNA2;CCNB1
AR-A014418 CTD 00004251,0.007774217,0.027598471,0,0,151.3333333,735.0172993,CCNB1
metolachlor CTD 00002221,0.007774217,0.027598471,0,0,151.3333333,735.0172993,CCNA2
arsenite CTD 00000779,0.007905613,0.027909872,0,0,6.409807956,31.02463868,CDC20;CCNB1;TXNRD1;BUB1
MANGANESE CTD 00006240,0.008150585,0.028616613,0,0,17.04093063,81.96117811,CCNB2;BUB1
38966-21-1 CTD 00007124,0.008419547,0.028770537,0,0,138.7152778,662.6705253,CCNA2
"1H-Pyrrole-2,5-dione, 3,4-diphenyl- TTD 00000418",0.008419547,0.028770537,0,0,138.7152778,662.6705253,CCNB1
"1H-Pyrrole-2,5-dione, 3,4-bis(4-methoxyphenyl)- TTD 00000417",0.008419547,0.028770537,0,0,138.7152778,662.6705253,CCNB1
AGN-PC-00BUNE TTD 00001660,0.008419547,0.028770537,0,0,138.7152778,662.6705253,CCNB1
GOLD CTD 00006047,0.008419547,0.028770537,0,0,138.7152778,662.6705253,TXNRD1
TERT-BUTYL HYDROPEROXIDE CTD 00007349,0.008816731,0.029967504,0,0,6.199617718,29.33103722,CCNA2;UBE2C;TXNRD1;BUB1
"[6-[6-(butanoylamino)purin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl] butanoate CTD 00005796",0.008980029,0.030011443,0,0,16.18755119,76.28791727,CCNB1;CTBP2
