#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EPPK1	KRT8	9606.ENSP00000484472	9606.ENSP00000449404	0	0	0	0	0.14	0.056	0	0.457	0.521
FAM35A	SHLD3	9606.ENSP00000298784	9606.ENSP00000424007	0	0	0	0	0	0.875	0	0.924	0.99
FBXO9	KDM7A	9606.ENSP00000244426	9606.ENSP00000380692	0	0	0	0	0	0.525	0	0.101	0.554
FKRP	VASP	9606.ENSP00000326570	9606.ENSP00000245932	0	0	0	0	0	0	0	0.409	0.408
FKRP	HSPG2	9606.ENSP00000326570	9606.ENSP00000363827	0	0	0	0	0	0	0	0.593	0.593
FLVCR1	LRP1	9606.ENSP00000355938	9606.ENSP00000243077	0	0	0	0	0.063	0	0	0.457	0.469
FLVCR1	KRAS	9606.ENSP00000355938	9606.ENSP00000256078	0	0	0	0	0	0.414	0	0	0.414
FLVCR1	FTH1	9606.ENSP00000355938	9606.ENSP00000273550	0	0	0	0	0	0	0	0.436	0.436
FPGS	MTHFD2	9606.ENSP00000362344	9606.ENSP00000377617	0.219	0	0	0	0.085	0	0	0.558	0.657
FPGS	MTHFD1L	9606.ENSP00000362344	9606.ENSP00000478253	0.219	0	0	0	0.062	0	0.9	0.595	0.966
FRS3	KRAS	9606.ENSP00000362109	9606.ENSP00000256078	0	0	0	0	0	0	0.9	0.077	0.903
FTH1	GSR	9606.ENSP00000273550	9606.ENSP00000221130	0	0	0	0	0	0	0	0.404	0.404
FTH1	TXNRD1	9606.ENSP00000273550	9606.ENSP00000434516	0	0	0	0	0	0	0	0.511	0.511
FTH1	MAP3K11	9606.ENSP00000273550	9606.ENSP00000309597	0	0	0	0	0	0.056	0	0.767	0.77
FUT11	MAN2A2	9606.ENSP00000361932	9606.ENSP00000452948	0	0	0	0	0	0.17	0	0.471	0.542
FUT11	FUT2	9606.ENSP00000361932	9606.ENSP00000387498	0	0	0	0	0	0	0	0.652	0.652
GAN	LZTR1	9606.ENSP00000476795	9606.ENSP00000215739	0	0	0	0	0.051	0	0.9	0.373	0.935
